seq_id,template,holo_mean_plddt,holo_mean_plddt_sd,apo_mean_plddt,apo_mean_plddt_sd,mean_plddt_diff,mean_plddt_diff_sd
0,G4FP_des1_cro_mod0,85.99541032531825,0.2784270879056017,82.78777745238096,0.2150702448052209,3.207632872937282,0.3518193477911232
1,G4FP_des1_cro_mod0,86.02647390381895,0.1856368885000592,84.01786815181518,0.443571246078418,2.008605752003774,0.4808497735463165
2,G4FP_des1_cro_mod0,85.56915438472417,0.2389435425429733,83.76965195662424,0.2610271684129783,1.7995024280999274,0.3538773787241607
3,G4FP_des1_cro_mod0,86.14092366808109,0.2789972972678338,84.70995049504951,0.1953122310068959,1.430973173031575,0.3405677017329258
4,G4FP_des1_cro_mod0,85.59411666666666,0.3574935517760136,83.82421900047147,0.3727260774729981,1.7698976661951915,0.5164555822041589
5,G4FP_des1_cro_mod0,85.90668165959453,0.368670885637141,83.36649292786421,0.4151181431718042,2.5401887317303107,0.5551948259006747
6,G4FP_des1_cro_mod0,85.68992996228195,0.1725044525449096,85.34166631305989,0.5735600867533924,0.3482636492220621,0.5989398628112659
7,G4FP_des1_cro_mod0,85.60795865157942,0.2176711891203323,84.15806412069779,0.286634483751095,1.449894530881636,0.3599167596102135
8,G4FP_des1_cro_mod0,85.68669615747291,0.3856788444152642,84.68530563413483,0.4119240270309812,1.001390523338074,0.5642956450965345
9,G4FP_des1_cro_mod0,85.74137351013673,0.6945678405516051,83.62452580669496,1.291465915327726,2.1168477034417634,1.4663930904030478
10,G4FP_des1_cro_mod0,85.52447904290429,0.37670894060406,84.04656482791137,0.2700243671606726,1.4779142149929214,0.4634897893066847
11,G4FP_des1_cro_mod0,85.87236487505896,0.340683243340697,84.87101449787836,0.1901915296949507,1.0013503771806,0.3901767423371642
12,G4FP_des1_cro_mod0,85.71617817067421,0.1755655530211376,84.06436218764735,0.4120751721706975,1.6518159830268644,0.4479165222752203
13,G4FP_des1_cro_mod0,86.17411968411126,0.2291932098811326,84.93961942479962,0.2934888772137868,1.2345002593116448,0.3723778303065667
14,G4FP_des1_cro_mod0,85.89682593116454,0.3770162472233195,84.53732522395097,0.3485271803306516,1.35950070721357,0.5134320267567944
15,G4FP_des1_cro_mod0,85.11841079679397,0.2483190495047973,84.84939000471476,0.3096509632125945,0.2690207920792034,0.3969207343607203
16,G4FP_des1_cro_mod0,85.67231801037248,0.2773589089350956,82.83410891089108,0.441016741577319,2.8382090994814035,0.5209834265282749
17,G4FP_des1_cro_mod0,85.26869535596417,0.2313666952376603,84.32618267326733,0.2193080654059356,0.9425126826968436,0.3187892332204627
18,G4FP_des1_cro_mod0,86.07046718528996,0.239243306721674,84.47067128712871,0.4271480369326891,1.599795898161247,0.489584318852811
19,G4FP_des1_cro_mod0,85.54591702027345,0.1841313167914535,82.40287871287128,0.6267581022571985,3.143038307402165,0.6532457887873442
20,G4FP_des1_cro_mod0,85.82434097123998,0.2028456588594882,84.09058663366336,0.4912441851445011,1.7337543375766131,0.5314764442159452
21,G4FP_des1_cro_mod0,86.04855011786894,0.2703515937563305,83.88326775106083,0.3376570507581443,2.165282366808114,0.4325531969287431
22,G4FP_des1_cro_mod0,86.17459625176804,0.2556611393564428,84.4054734794908,0.4166038558978588,1.7691227722772425,0.4887958581309772
23,G4FP_des1_cro_mod0,85.9790825318246,0.2907876501234445,84.18578835454973,0.398761262602015,1.7932941772748734,0.4935260905122119
24,G4FP_des1_cro_mod0,85.93632437529467,0.3910198242236566,83.39171369636965,0.3765446060534485,2.544610678925025,0.5428465190860545
25,G4FP_des1_cro_mod0,85.32275603488921,0.2243568476897338,84.37241888260255,0.3187465779930736,0.9503371522866644,0.3897888865624173
26,G4FP_des1_cro_mod0,85.68478884959924,0.3071049409585781,84.48598727015559,0.3200289691063697,1.1988015794436535,0.4435447957404725
27,G4FP_des1_cro_mod0,86.11646438000942,0.3812813244519951,84.52060926449786,0.1872390041752895,1.5958551155115543,0.4247751088051437
28,G4FP_des1_cro_mod0,86.04343312116926,0.3070913400124233,84.76110886374352,0.2652949306987162,1.282324257425742,0.4058158342956351
29,G4FP_des1_cro_mod0,85.41732338519567,0.2537331933244643,84.77485947666194,0.2948605751484872,0.6424639085337276,0.3890029462247383
30,G4FP_des1_cro_mod0,85.89217991513436,0.3217942968285112,84.66126737388024,0.3102151877120876,1.2309125412541275,0.4469731895299781
31,G4FP_des1_cro_mod0,86.03734846770392,0.3571879180579684,84.52366683168317,0.2991929178530644,1.513681636020749,0.4659394927455887
32,G4FP_des1_cro_mod0,85.67269422442244,0.3039421931405552,83.68854424799623,0.3678428663261412,1.9841499764262096,0.477167927545557
33,G4FP_des1_cro_mod0,85.87218741159828,0.1864632620232796,84.27530563413484,0.5458383649489441,1.5968817774634374,0.5768085199912524
34,G4FP_des1_cro_mod0,85.80680188590286,0.2508068717594349,84.18215928807167,0.5703338675211103,1.6246425978311834,0.6230447876062691
35,G4FP_des1_cro_mod0,85.93819717114567,0.282133070702794,84.56900664780764,0.2973051775849904,1.369190523338034,0.4098651463628378
36,G4FP_des1_cro_mod0,85.48408941537011,0.2679128602575143,83.67997463460631,0.415070654422523,1.804114780763797,0.4940252512312543
37,G4FP_des1_cro_mod0,85.31647600188592,0.3061873029824336,83.7860543375766,0.225285874455325,1.5304216643093156,0.3801373301015793
38,G4FP_des1_cro_mod0,86.01230165016503,0.3077412180533198,84.50594568599718,0.4180617654697847,1.5063559641678523,0.5191149169852993
39,G4FP_des1_cro_mod0,85.47329570957093,0.2818118215355805,82.97323517208865,0.3279480032946657,2.500060537482284,0.432397728511795
