seq_id,template,global_rmsd,global_rmsd_sd,chromophore_rmsd,chromophore_rmsd_sd
0,G4FP_des1_cro_mod0,12.544743905347069,0.9601624844699757,0.0543243052370129,0.0441166901313902
1,G4FP_des1_cro_mod0,7.525402113217154,2.056017581293573,0.1799234823791512,0.087652073149097
2,G4FP_des1_cro_mod0,8.01491685427887,2.337337369857355,0.22971560897935,0.102588380589891
3,G4FP_des1_cro_mod0,7.552184391547574,1.957817289809437,0.2093494900171733,0.0925772172364107
4,G4FP_des1_cro_mod0,6.250685655412979,0.6875734026720925,0.1532620999405239,0.0847500611750685
5,G4FP_des1_cro_mod0,8.270726852003401,2.359168639693013,0.1556269932190807,0.1192844970507642
6,G4FP_des1_cro_mod0,10.554261947888504,1.1826754142314737,0.1774091442043879,0.1056963031418882
7,G4FP_des1_cro_mod0,7.415537536315675,1.4890079417094164,0.1414614385684255,0.0863050531083404
8,G4FP_des1_cro_mod0,7.317329883081524,2.072119256039277,0.2161705851846821,0.0835759101140882
9,G4FP_des1_cro_mod0,9.751252268384798,4.6821813809998,0.1672178821103398,0.1637583225905144
10,G4FP_des1_cro_mod0,6.242545266975103,1.2218714687275878,0.1829345745959943,0.1295203215354826
11,G4FP_des1_cro_mod0,6.141313129924949,1.860868107779078,0.1785252220602634,0.0745730234314278
12,G4FP_des1_cro_mod0,7.40549980442993,1.4935579472923552,0.1767686549573026,0.0774126054991831
13,G4FP_des1_cro_mod0,7.825321955477131,2.194847979127193,0.216065920420712,0.1156307429930423
14,G4FP_des1_cro_mod0,6.549500304246847,1.990902892954292,0.2370576664267426,0.1226700418091818
15,G4FP_des1_cro_mod0,7.215626313033596,1.4147768628513122,0.2041229706350132,0.0942851130314257
16,G4FP_des1_cro_mod0,8.131367154658035,2.2297916507819817,0.1874075595810903,0.0704249688272934
17,G4FP_des1_cro_mod0,7.352642363908265,2.1014805824177363,0.1846268006633947,0.1104921350382853
18,G4FP_des1_cro_mod0,9.406520191676943,2.0551724150148414,0.2184485540264069,0.1277450795746022
19,G4FP_des1_cro_mod0,10.988311240294925,1.397511071227584,0.1680491749149919,0.0765979081363088
20,G4FP_des1_cro_mod0,7.49622807369129,2.019965019711151,0.1972223184921051,0.0863846238382433
21,G4FP_des1_cro_mod0,8.471472902128244,3.095721174325785,0.1626916292415011,0.0902286677104263
22,G4FP_des1_cro_mod0,9.045263291546078,2.118476771738493,0.1989148156521815,0.0916241738927069
23,G4FP_des1_cro_mod0,5.896517894150215,1.7721539909233763,0.1874073409052676,0.0855291473034812
24,G4FP_des1_cro_mod0,7.513101717617864,2.4746591172626604,0.206501769543209,0.1520736385376306
25,G4FP_des1_cro_mod0,7.898406727886916,2.594991413553489,0.1841927528730728,0.1067888708608686
26,G4FP_des1_cro_mod0,6.919484274606686,1.8363198616568228,0.2128388614700166,0.0860927190144066
27,G4FP_des1_cro_mod0,7.777164596191056,2.0864867706628933,0.2262497745468529,0.0949208937772827
28,G4FP_des1_cro_mod0,6.320240953013586,1.4266937228487224,0.2098194614998089,0.1277320051062209
29,G4FP_des1_cro_mod0,6.008975193748604,1.0034693640720245,0.2103710775314133,0.1173205964940512
30,G4FP_des1_cro_mod0,7.810942363302834,1.1681067562844574,0.187243324715475,0.0857081615301814
31,G4FP_des1_cro_mod0,6.918464646655503,2.4994432097295896,0.2413395110697037,0.1043360753967205
32,G4FP_des1_cro_mod0,6.911296119534321,2.460702348065288,0.1806454499314826,0.0721252979426991
33,G4FP_des1_cro_mod0,11.41038281258282,2.039673680534312,0.2043163098521612,0.112103023430207
