seq_id,template,global_rmsd,chromophore_rmsd,mean_per_res_rmsd,max_per_res_rmsd,mean_plddt_diff,max_plddt_diff,bound_mean_plddt,apo_mean_plddt,chromophore_bound_plddt,chromophore_apo_plddt,chromophore_plddt_diff,bound_ptm,apo_ptm,bound_iptm,apo_iptm,bound_ranking_score,apo_ranking_score,bound_mean_pae,bound_interface_pae,apo_mean_pae,pae_diff
97,G4FP_des1_cro_mod0,16.4466121821864,0.3335429518638971,13.543439,49.531708,2.4712839285714283,44.28392857142857,87.60846428571429,85.13718035714287,94.18291666666669,88.8235119047619,5.359404761904766,0.78,0.79,0.58,,0.68,0.87,9.602073485913069,14.545298245614037,9.355200470542105,-0.24687301537096396
92,G4FP_des1_cro_mod0,14.938903995211563,0.03159139585495288,11.837129,46.848595,3.2294660537482316,30.265,85.6123273220179,82.38286126826969,91.5904761904762,86.48904761904764,5.1014285714285705,0.73,0.8,0.52,,0.65,0.86,11.48474499440608,18.248011116901164,10.410604624818918,-1.0741403695871625
99,G4FP_des1_cro_mod0,14.92384363989324,0.21691409886832677,12.64957,41.961304,3.949919642857144,35.41714285714287,86.02861845238095,82.0786988095238,94.64083333333333,89.84541666666667,4.795416666666668,0.73,0.79,0.57,,0.67,0.84,10.425792788985959,15.730649122807018,9.266086666666666,-1.1597061223192924
96,G4FP_des1_cro_mod0,13.664050361750595,0.21559038184756796,10.867001,44.349712,2.613692857142857,42.06392857142856,85.63721845238095,83.0235255952381,91.29803571428572,91.32827380952381,-0.03023809523810428,0.74,0.79,0.53,,0.65,0.85,11.349524516801049,17.375030303030304,9.353384444444442,-1.9961400723566065
19,G4FP_des1_cro_mod0,13.145056722375124,0.12863658196847808,9.3517,40.227905,3.042016737388025,33.19875,85.23494283356906,82.19292609618104,91.76083333333334,87.10041666666666,4.660416666666673,0.74,0.77,0.51,,0.64,0.85,11.380610315960034,18.126558971686645,10.092704418956748,-1.2879058970032862
0,G4FP_des1_cro_mod0,12.852270208208912,0.23403898825061278,10.418552,37.48887,3.7890261904761906,39.58375,86.69229642857142,82.90327023809523,92.16339285714287,89.21363095238094,2.949761904761909,0.74,0.79,0.53,,0.65,0.85,11.19629451024266,17.114757575757576,9.054564444444443,-2.1417300657982175
53,G4FP_des1_cro_mod0,12.70777475370754,0.33869521174208134,8.440089,39.358124,0.8731046676096171,37.08375000000001,86.58060466760962,85.70750000000001,95.16904761904762,91.24017857142856,3.9288690476190546,0.75,0.8,0.53,,0.63,0.86,10.683497936036417,15.84981761334028,8.821592654314935,-1.8619052817214818
70,G4FP_des1_cro_mod0,12.534894145059722,0.18472591787993445,8.277715,37.449192,2.4560737859500237,31.522500000000008,86.62957095709572,84.17349717114568,93.36583333333333,87.77083333333333,5.594999999999999,0.75,0.78,0.55,,0.65,0.85,10.649078932139965,15.66029181865555,9.495304381923342,-1.1537745502166228
56,G4FP_des1_cro_mod0,12.502090822681811,0.006331209976851398,8.108218,36.49008,0.6561421499292797,25.933750000000003,85.55177392739274,84.89563177746346,91.88607142857143,89.34779761904763,2.538273809523806,0.74,0.79,0.53,,0.64,0.85,11.286179159754639,16.818829251346187,9.380448539903496,-1.905730619851143
58,G4FP_des1_cro_mod0,12.464773061490305,0.12073355121459178,8.661671,47.240852,1.4285071900047144,26.14,85.90077086280057,84.47226367279585,92.24690476190477,86.38023809523808,5.866666666666674,0.74,0.78,0.54,,0.63,0.85,11.154232089811352,16.806392218169183,9.824633750503763,-1.329598339307589
