global_id,template,seq_id,fitness_score,holo_chromophore_plddt,holo_iptm,global_rmsd,holo_ptm,mean_plddt_diff_sd,chromophore_plddt_diff,holo_fraction_disordered,apo_fraction_disordered
G4FP_r20_l1_cro_mod0_design_0062,G4FP_r20_l1_cro_mod0,62,0.7932260007148275,98.52136666666668,0.8936000000000002,5.3571630345725785,0.878,0.2945184900371311,1.5050833333333458,0.0756,0.044
G4FP_r20_l1_cro_mod0_design_0010,G4FP_r20_l1_cro_mod0,10,0.7448026724167136,98.68659047619047,0.8312,4.832752529363596,0.8672000000000001,0.6934954722275739,1.4179261904761944,0.0724,0.0504
G4FP_r20_l1_cro_mod0_design_0042,G4FP_r20_l1_cro_mod0,42,0.738549633033859,97.76724285714286,0.8676,4.445054423119494,0.8760000000000001,0.6113112187337997,1.1219904761904758,0.0732,0.0624
G4FP_r20_l1_cro_mod0_design_0068,G4FP_r20_l1_cro_mod0,68,0.7336437469026272,98.81096666666666,0.7591999999999999,6.038539410368283,0.8552,0.3771068207434423,1.46459999999999,0.0724,0.0452
G4FP_r20_l1_cro_mod0_design_0046,G4FP_r20_l1_cro_mod0,46,0.729766205445336,98.56196666666666,0.7652,6.619618877932791,0.8560000000000001,0.6027187630281186,1.3799833333333282,0.0788,0.0236
G4FP_r20_l1_cro_mod0_design_0002,G4FP_r20_l1_cro_mod0,2,0.728958546998158,98.12963571428573,0.7880000000000001,6.089827435199733,0.8580000000000001,0.4088999152950313,1.536104761904781,0.0788,0.0636
G4FP_r20_l1_cro_mod0_design_0047,G4FP_r20_l1_cro_mod0,47,0.7208956122949808,97.9490761904762,0.7580000000000001,7.278678876494671,0.8512,0.4514116607910498,1.8914023809523848,0.0776,0.068
G4FP_r20_l1_cro_mod0_design_0029,G4FP_r20_l1_cro_mod0,29,0.7164871648523542,98.7882261904762,0.7324,6.045251343196253,0.8532000000000001,0.514870306749954,1.42686904761905,0.074,0.0536
G4FP_r20_l1_cro_mod0_design_0043,G4FP_r20_l1_cro_mod0,43,0.7159982965250618,98.19076666666666,0.7484000000000001,6.700986780136632,0.8532000000000001,0.5107209079332935,1.7358333333333178,0.0784,0.0588
G4FP_r20_l1_cro_mod0_design_0048,G4FP_r20_l1_cro_mod0,48,0.7155233239890637,98.25913333333334,0.7831999999999999,5.1059355049323605,0.8603999999999999,0.5886162481157369,1.5663999999999874,0.0812,0.0696
G4FP_r20_l1_cro_mod0_design_0058,G4FP_r20_l1_cro_mod0,58,0.7106877904252928,98.79671666666668,0.7240000000000001,5.717660339989577,0.8523999999999999,0.4207386367322316,1.216316666666657,0.0748,0.0636
G4FP_r20_l1_cro_mod0_design_0037,G4FP_r20_l1_cro_mod0,37,0.7085618813404715,98.58885,0.7408,5.634475273547278,0.8491999999999998,0.3964979553299138,1.226866666666666,0.076,0.0664
G4FP_r20_l1_cro_mod0_design_0055,G4FP_r20_l1_cro_mod0,55,0.7037036829305926,98.47011190476192,0.7188,6.315043204857767,0.8471999999999998,0.4251395673663407,1.5441976190476223,0.076,0.03
G4FP_r20_l1_cro_mod0_design_0096,G4FP_r20_l1_cro_mod0,96,0.7030660071631194,98.30556666666664,0.7192000000000002,6.463383492199056,0.8515999999999999,0.4340018785275199,1.1375238095237847,0.0819999999999999,0.0388
G4FP_r20_l1_cro_mod0_design_0052,G4FP_r20_l1_cro_mod0,52,0.7023602820743906,98.38596904761904,0.6848000000000001,8.923538028408856,0.84,0.7596254646837104,1.3911571428571392,0.0768,0.0528
G4FP_r20_l1_cro_mod0_design_0087,G4FP_r20_l1_cro_mod0,87,0.7014671922803267,98.65166666666666,0.7148,6.443189533052967,0.8443999999999999,0.5445583304062507,1.3168833333333367,0.0744,0.0608
G4FP_r20_l1_cro_mod0_design_0026,G4FP_r20_l1_cro_mod0,26,0.7008216208243921,98.74483333333336,0.7536000000000002,4.611058152087754,0.848,0.5374405350156037,1.3943000000000296,0.0712,0.0692
G4FP_r20_l1_cro_mod0_design_0093,G4FP_r20_l1_cro_mod0,93,0.6994284400885155,98.50304285714284,0.7063999999999999,6.297802389382382,0.8467999999999999,0.3974529009721819,1.4109428571428282,0.0819999999999999,0.0279999999999999
G4FP_r20_l1_cro_mod0_design_0044,G4FP_r20_l1_cro_mod0,44,0.6985186577666199,98.69158333333333,0.7148,5.9116731613686895,0.8499999999999999,0.6253639302180498,1.2812333333333328,0.072,0.0592
G4FP_r20_l1_cro_mod0_design_0019,G4FP_r20_l1_cro_mod0,19,0.6978645742097559,98.6347095238095,0.6775999999999999,6.982646359641048,0.8476,0.4528171170607644,1.148954761904733,0.0764,0.0572
G4FP_r20_l1_cro_mod0_design_0059,G4FP_r20_l1_cro_mod0,59,0.6976922307670764,98.68298333333334,0.7071999999999999,5.3896251484284265,0.8512,0.4006627727772579,1.4605499999999978,0.0772,0.0676
G4FP_r20_l1_cro_mod0_design_0049,G4FP_r20_l1_cro_mod0,49,0.6961374172269741,98.77494523809524,0.6911999999999999,5.912779219327631,0.8464,0.4019320857763069,1.5120595238095262,0.08,0.0644
G4FP_r20_l1_cro_mod0_design_0017,G4FP_r20_l1_cro_mod0,17,0.695691444927512,98.63072619047618,0.6964000000000001,6.289453013129386,0.8464,0.5005231515172981,1.4812404761904645,0.078,0.0616
G4FP_r20_l1_cro_mod0_design_0078,G4FP_r20_l1_cro_mod0,78,0.6956712399698942,98.5754,0.7144000000000001,6.168156138300855,0.8407999999999999,0.427912806374266,1.1848857142857128,0.0756,0.0356
G4FP_r20_l1_cro_mod0_design_0071,G4FP_r20_l1_cro_mod0,71,0.6928629899579546,98.62500714285714,0.6935999999999999,6.1500144391255445,0.8444000000000002,0.4132051931656048,1.3092119047619093,0.0692,0.0264
G4FP_r20_l1_cro_mod0_design_0045,G4FP_r20_l1_cro_mod0,45,0.6926931180368867,98.11475952380954,0.6931999999999999,7.147014380194337,0.8503999999999999,0.4819992389660322,0.9645714285714462,0.0808,0.0444
G4FP_r20_l1_cro_mod0_design_0009,G4FP_r20_l1_cro_mod0,9,0.6915758959751381,98.64859047619048,0.7195999999999999,5.529046236868338,0.8419999999999999,0.4936519489295587,1.305254761904763,0.07,0.0576
G4FP_r20_l1_cro_mod0_design_0028,G4FP_r20_l1_cro_mod0,28,0.6915609964438137,98.64263333333332,0.6951999999999999,6.427172321109574,0.8432,0.5808690398018456,1.4020333333333213,0.0756,0.0624
G4FP_r20_l1_cro_mod0_design_0040,G4FP_r20_l1_cro_mod0,40,0.6912266404527179,98.58446666666669,0.7032,5.976044200075113,0.8448,0.4907565039318611,1.2640333333333444,0.076,0.0392
G4FP_r20_l1_cro_mod0_design_0027,G4FP_r20_l1_cro_mod0,27,0.6909258747934026,98.74533333333336,0.7060000000000001,5.182763279676664,0.848,0.4906655961671631,1.4841333333333608,0.0812,0.064
G4FP_r20_l1_cro_mod0_design_0097,G4FP_r20_l1_cro_mod0,97,0.6907542399797949,98.18929761904764,0.7143999999999999,6.159879243658181,0.8464000000000002,0.4614328050475207,1.556992857142859,0.0776,0.0576
G4FP_r20_l1_cro_mod0_design_0000,G4FP_r20_l1_cro_mod0,0,0.6897050625365491,98.55582619047618,0.7012,5.960148807889743,0.8475999999999999,0.5360156588395295,1.060461904761894,0.0784,0.0564
G4FP_r20_l1_cro_mod0_design_0014,G4FP_r20_l1_cro_mod0,14,0.6885779529557838,98.19571190476192,0.7164,5.576160363276873,0.8483999999999999,0.4139168970546995,1.7127595238095523,0.0803999999999999,0.0472
G4FP_r20_l1_cro_mod0_design_0091,G4FP_r20_l1_cro_mod0,91,0.6875621044553258,98.12173333333332,0.7203999999999999,6.080344952180655,0.8467999999999999,0.5639237703084806,1.557299999999998,0.0776,0.0504
G4FP_r20_l1_cro_mod0_design_0083,G4FP_r20_l1_cro_mod0,83,0.6875163466162161,98.52766666666666,0.7040000000000001,5.623754088962248,0.8456,0.4538862672915816,1.248833333333323,0.0772,0.0544
G4FP_r20_l1_cro_mod0_design_0023,G4FP_r20_l1_cro_mod0,23,0.687457935892614,98.16543333333335,0.7056,6.351645184225042,0.8476,0.5174219981639199,1.3543833333333597,0.0808,0.062
G4FP_r20_l1_cro_mod0_design_0067,G4FP_r20_l1_cro_mod0,67,0.687019882937692,98.52886666666666,0.7108000000000001,5.122565367108146,0.8483999999999999,0.4320265283301328,1.1803714285714193,0.0832,0.058
G4FP_r20_l1_cro_mod0_design_0082,G4FP_r20_l1_cro_mod0,82,0.6867292134614945,98.46007380952382,0.6888000000000001,6.127913278575538,0.8455999999999999,0.4664905996015482,1.539911904761908,0.0792,0.0552
G4FP_r20_l1_cro_mod0_design_0006,G4FP_r20_l1_cro_mod0,6,0.6864798727575364,98.6472642857143,0.68,6.087735352427104,0.846,0.4998948220829121,1.3754642857143011,0.078,0.0616
G4FP_r20_l1_cro_mod0_design_0065,G4FP_r20_l1_cro_mod0,65,0.6862990048692488,98.37483333333334,0.7068000000000001,6.007912996704899,0.8464,0.5794711681357184,1.3121833333333228,0.072,0.046
G4FP_r20_l1_cro_mod0_design_0004,G4FP_r20_l1_cro_mod0,4,0.6852966305038948,98.57460238095236,0.6976,5.876398926828083,0.8395999999999999,0.4317666663343467,1.39628095238092,0.0732,0.0712
G4FP_r20_l1_cro_mod0_design_0075,G4FP_r20_l1_cro_mod0,75,0.6846604101210301,98.48685000000002,0.6892,5.83262934065483,0.8483999999999999,0.5217364996984674,1.492999999999995,0.0728,0.0492
G4FP_r20_l1_cro_mod0_design_0090,G4FP_r20_l1_cro_mod0,90,0.6844468387451479,98.21759047619048,0.7316000000000001,4.922010183903951,0.8492000000000001,0.4894596178471693,1.4422166666666527,0.078,0.0664
G4FP_r20_l1_cro_mod0_design_0025,G4FP_r20_l1_cro_mod0,25,0.6843891670850443,98.63770476190476,0.7060000000000001,4.956316250407068,0.8499999999999999,0.5763092293587774,1.466538095238107,0.0656,0.0388
G4FP_r20_l1_cro_mod0_design_0031,G4FP_r20_l1_cro_mod0,31,0.6810730149184983,98.75225,0.6736,6.076360782627525,0.8416,0.535338522406285,1.239616666666663,0.0828,0.0492
G4FP_r20_l1_cro_mod0_design_0018,G4FP_r20_l1_cro_mod0,18,0.6769944809290416,98.71075476190477,0.7008000000000001,5.186069087525836,0.8456,0.782237802317558,1.4824952380952254,0.0688,0.0612
G4FP_r20_l1_cro_mod0_design_0038,G4FP_r20_l1_cro_mod0,38,0.6764664619496278,98.7275976190476,0.6944,4.755239461261947,0.8443999999999999,0.4954413061141372,1.2759952380952484,0.0803999999999999,0.064
G4FP_r20_l1_cro_mod0_design_0073,G4FP_r20_l1_cro_mod0,73,0.6752215641696598,98.6269,0.6832,4.926401825034535,0.8475999999999999,0.4832663674773101,1.4047333333333398,0.0712,0.0508
G4FP_r20_l1_cro_mod0_design_0081,G4FP_r20_l1_cro_mod0,81,0.6747167586295236,98.67312857142856,0.6716,5.755478282427088,0.8407999999999999,0.5284441311162845,1.4538904761904805,0.068,0.0272
G4FP_r20_l1_cro_mod0_design_0098,G4FP_r20_l1_cro_mod0,98,0.6742690595117108,98.11915952380954,0.7119999999999999,5.376334801836727,0.8432,0.476985835032305,1.362376190476212,0.0828,0.0508
